State,Abbr,Electors,Cumulative Count
California,CA,55,55
Texas,TX,38,93
Florida,FL,29,122
New York,NY,29,151
Illinois,IL,20,171
Pennsylvania,PA,20,191
Ohio,OH,18,209
Georgia,GA,16,225
Michigan,MI,16,241
North Carolina,NC,15,256
New Jersey,NJ,14,270
Virginia,VA,13,283
Washington,WA,12,295
Arizona,AZ,11,306
Indiana,IN,11,317
Massachusetts,MA,11,328
Tennessee,TN,11,339
Maryland,MD,10,349
Minnesota,MN,10,359
Missouri,MO,10,369
Wisconsin,WI,10,379
Alabama,AL,9,388
Colorado,CO,9,397
South Carolina,SC,9,406
Kentucky,KY,8,414
Louisiana,LA,8,422
Connecticut,CT,7,429
Oklahoma,OK,7,436
Oregon,OR,7,443
Arkansas,AR,6,449
Iowa,IA,6,455
Kansas,KS,6,461
Mississippi,MS,6,467
Nevada,NV,6,473
Utah,UT,6,479
Nebraska,NE,5,484
New Mexico,NM,5,489
West Virginia,WV,5,494
Hawaii,HI,4,498
Idaho,ID,4,502
Maine,ME,4,506
New Hampshire,NH,4,510
Rhode Island,RI,4,514
Alaska,AK,3,517
Delaware,DE,3,520
District of Columbia,DC,3,523
Montana,MT,3,526
North Dakota,ND,3,529
South Dakota,SD,3,532
Vermont,VT,3,535
Wyoming,WY,3,538